transaction_id,wallet_address,wallet_id,amount,hash,timestamp,block_number,block_hash,transaction_type,from_address,to_address,gas_price,gas_limit,nonce,status
TX0,0x21d84deaf3d2a8daf039bbd819511c6c8edf91414aadd64a8eabfa1f5b25fc7b,WALLET87,18.02,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,1725816379,0,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,send,0xffabb825210c29d3d80ed86ce21e917b2675834183a1f1b228a9da8758798388,0xb15a3a6b83291d6ab7f0f4d4963f1caf2438a0b3448dacdcf311c6826eca279c,40.99,27414,54,success
TX1,0x40a42fbe356badffc2a8076eee7958a14d5ac42ac1d9e74bf1a2a729c413505c,WALLET83,80.92,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,1725816380,1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,receive,0xcecd149c1c7b631e062db6b9af3bae90e977d287ea21b9894b6ba32464eaccce,0x081eb48429d25e8c287a454300df9195a1637ba20c6bb4c2c2bc7af0d3b3c02b,17.16,23665,61,success
TX2,0x4d4a940130c7135e9b08c0fbf233af386a6816292d3b18ea3c6930940f87185c,WALLET24,62.02,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1725816381,2,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,receive,0x2b59fc51cea1440a81433526cd0b8db2feb811412c6b80d9fb7a692c3e893804,0xeb6f52ef95d77717f20f0ee96f2b4b812c999c68a6af054264da7b435924b032,14.34,12926,90,success
TX3,0xd763e598d58bb74c68d9ceef419e52652640895f52d4aa1ea9d2a57291efcb70,WALLET17,28.62,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,1725816382,3,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,send,0xfee771cec5b6d19683f5cc1323c30812f65ae9c6f95fb7471c0d079465d49211,0x1b9db110c603ed935b90edec4561d8527f5b817b04d930985f505b622d4469fa,39.11,32101,26,success
TX4,0x3399e45abe0c6001c661055a59b3c497e9b41cd90e9466d64967b1fbf14e02fd,WALLET82,39.38,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,1725816383,4,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,receive,0x1e1eaaa1d6844d245ad78ea7bc1b9d0d7e36d88ac8f8239732b7c5bacfc59657,0xe64a7b24209c7057de84e9e6a6d109f2b094b02d6fc069f587f7c5656efc7bcc,18.9,38191,52,failure
TX5,0x2b212404d5b4414db05fcd32c9ab505614e36f1b188b4b8bc49085825f68e798,WALLET43,67.61,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,1725816384,5,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,receive,0xb15a3a6b83291d6ab7f0f4d4963f1caf2438a0b3448dacdcf311c6826eca279c,0x3a308be4a1e40b3bc277ed995f73b79be6d069f954d53c4672050f4fd0ea6eb8,11.06,47038,4,success
TX6,0x3578bc212c1bd4af302a6630cb8b7f02aabf36e99d3545e04b6c75223ad717d1,WALLET8,65.69,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,1725816385,6,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,send,0x348068e8aed475816479aaf0b187290978de2c27efd28dc631199633026edc5f,0x4d4a940130c7135e9b08c0fbf233af386a6816292d3b18ea3c6930940f87185c,21.25,21903,46,failure
TX7,0x091f30ae155cd63105ba2f6e6bbd6e4e104de405f4b4e65c8ae7741c2e976b63,WALLET66,69.95,7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,1725816386,7,7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,receive,0xffabb825210c29d3d80ed86ce21e917b2675834183a1f1b228a9da8758798388,0xa7f92f81887766cfbbfc3f135c00494e8d16b2e1fd9e635605425181e3377e9a,47.43,32602,72,failure
TX8,0x23f680457ab2b96555f34e5efdaabc7339059066889d2619a17389c7cf6cfcc0,WALLET19,51.73,2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,1725816387,8,2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,receive,0x7af474f09342afc7d25b3cbf35ea1b7a4a049f95263efd3b9825727d2780cfe6,0x36f0a64003315f3875dab4c7d820483241e65bde44260c13958a044ca0da8e0b,33.71,22025,47,failure
TX9,0x41a22c5e4011cc0e955b1a5644e79060d699492f3991065cfd44ac18c4f93486,WALLET50,92.55,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,1725816388,9,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,receive,0x7411eb561e899146c6a59d4a8c7eb96a0d136a42f46877e0372456e30ae107d4,0x9ed34f75d702b4d81dca5d009606fe53e32c103fd6a3d9b6a3ba3219a70b72ec,24.22,16547,22,failure
TX10,0x1a15a637095691df8caf0093a65952b41e94f37991c3a4e405490b31a4a79a3a,WALLET59,10.67,4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,1725816389,10,4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,send,0x60d3e70427205c562f862463793d85ca869d82579a86b3a2f1901d5af425e03d,0x8f7b9e9219dcc7ca361a4439b997e4ee87ca03f72a81787552b91b9146d9ae02,10.48,43063,69,success
TX11,0xe0e0ab51be2debe43f77c91ba336ae5b117575c06fe6944062f20a9fbfa6217a,WALLET90,82.66,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,1725816390,11,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,send,0x434c7a07600c9a06f225df19d4835ae5f8c956deb18d224e3173f546f8c5a659,0x40a42fbe356badffc2a8076eee7958a14d5ac42ac1d9e74bf1a2a729c413505c,30.87,36705,60,failure
TX12,0x36f0a64003315f3875dab4c7d820483241e65bde44260c13958a044ca0da8e0b,WALLET85,61.75,6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,1725816391,12,6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,send,0xd1e2bfcbb100a5fe3cdc9c0ab17abdb1dd9c6257780b8a215e50447e63a13df3,0x277c1917357655fda62c1dc4218faffd3eebf2e97cd51031fbf19f77c240f7df,30.95,20803,46,failure
TX13,0x1979113be176938407f34836c1da2832bcdf98fdb73aeecb92dd78a78e61f409,WALLET63,30.62,3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,1725816392,13,3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,receive,0xa03778ee9b0d7990072f0063192a5d0ba2fdc5db64482f4f7419e982489c3a1c,0x4128d9b02ab24a2f864abf7fcf73b047fa509f2ace74bac6774ade937fd27c5d,49.96,22183,17,failure
TX14,0x2bd824836129a315dd3f1ba08bd55d84f322f7a4f2b4549f2280706db91edf5d,WALLET94,63.71,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,1725816393,14,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,send,0xa03778ee9b0d7990072f0063192a5d0ba2fdc5db64482f4f7419e982489c3a1c,0x60e5d840aad63b2c1142f192933258b5ba8ce5dfcd88d06d56418da32e7a8a3d,19.78,26218,23,failure
TX15,0xcc6f763f004596eaa5ea63f3bf7bd0ae238e10233687aa25bd515ba871093f1b,WALLET18,50.66,e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,1725816394,15,e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,receive,0x60e5d840aad63b2c1142f192933258b5ba8ce5dfcd88d06d56418da32e7a8a3d,0x23f680457ab2b96555f34e5efdaabc7339059066889d2619a17389c7cf6cfcc0,12.87,47360,7,success
TX16,0x3a354d80190b88dbb1aa71fea07f2244073afd7b92060b93671111a590d08b86,WALLET83,3.78,b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,1725816395,16,b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,send,0x4d4a940130c7135e9b08c0fbf233af386a6816292d3b18ea3c6930940f87185c,0xf39c357da520a1bae6860c1b6f3fcf348c0ff20c06ec47da4f550fc0cd4551ad,45.8,16239,6,failure
TX17,0xcecd149c1c7b631e062db6b9af3bae90e977d287ea21b9894b6ba32464eaccce,WALLET73,49.52,4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,1725816396,17,4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,send,0xa7f92f81887766cfbbfc3f135c00494e8d16b2e1fd9e635605425181e3377e9a,0x47322e7b6117be541ff4948ec63d99a264984853c86f72960e9a69bd41e880ff,17.15,17062,60,success
TX18,0xf39c357da520a1bae6860c1b6f3fcf348c0ff20c06ec47da4f550fc0cd4551ad,WALLET78,67.2,4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,1725816397,18,4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,send,0x8f7b9e9219dcc7ca361a4439b997e4ee87ca03f72a81787552b91b9146d9ae02,0x63d88547c2c7358ce8200344e6d729546a07a3cb78d4a8c2288dded3034c9cd7,25.43,17955,24,success
TX19,0xf2264ecda90989ab7154792749d4aa1fb9de8b273429d4d4f98b68e68bea3ded,WALLET38,65.3,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,1725816398,19,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,send,0x321c162bf91d7c785865cdb670358fe8af9bd69c6d6db08d945b3489ed4b7a7f,0xb15a3a6b83291d6ab7f0f4d4963f1caf2438a0b3448dacdcf311c6826eca279c,48.79,36618,79,failure
TX20,0x2f035927909790208dc1fffbd41ebbd706fd71f04c9e804e3e8b4211a4567b7b,WALLET5,7.2,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,1725816399,20,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,receive,0xbc697a82d5d9188a58e82bcabb2404809b5d7ff4d7f7962f902f1f5d6131f236,0xbc697a82d5d9188a58e82bcabb2404809b5d7ff4d7f7962f902f1f5d6131f236,49.88,25105,65,failure
TX21,0x051e8aff5ef13a68de3e4436e3a337da89e004e63447f01c871caa354b90619d,WALLET52,15.37,6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443,1725816400,21,6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443,receive,0x84d020654fb87fd4204fce725576335258e992dcb6340602904829cb5dc82864,0x1cfe9c20cceb8cf7212b30adafa8cbe211e491fb4aa08a989db175d82d91e88f,41.22,35377,64,failure
TX22,0xecaba543ae8a543cd1577f8f5aca05f6c18f5998b02ad56ae86968691f1a2da0,WALLET81,9.77,785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,1725816401,22,785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,receive,0x1cfe9c20cceb8cf7212b30adafa8cbe211e491fb4aa08a989db175d82d91e88f,0x3d5e71429a167716abd40b655a23962a413d9e15db64787c2ad068bcdded2be6,45.35,42233,67,success
